status,duration,credit_history,purpose,credit_amount,saving_accounts,employment,investment_as_income_percentage,Personal status and sex,debtors,residence,property,age,installment_plans,housing,number_of_credits,job,dependent,telephone,foreign_worker
no checking account,12,Existing Credits,business,1542,... < 100 DM,7,2,male:single,none,4,car or other,36,none,own,1,skilled employee/official,1,yes,yes
no checking account,18,Critical,used car,3850,... < 100 DM,7,3,male:single,none,1,car or other,27,none,own,2,skilled employee/official,1,none,yes
...<0 DM,18,Existing Credits,furniture/equipment,3650,... < 100 DM,1,1,female:divorced/separated/married,none,4,car or other,22,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,36,Existing Credits,furniture/equipment,3446,... < 100 DM,7+,4,male:single,none,2,car or other,42,none,own,1,skilled employee/official,2,none,yes
0 <= ...<200 DM,18,Existing Credits,furniture/equipment,3001,... < 100 DM,7,2,female:divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee/official,1,none,yes
no checking account,36,Existing Credits,new car,3079,unknown/ no savings account,4,4,male:single,none,4,real estate,36,none,own,1,skilled employee/official,1,none,yes
no checking account,18,Critical,radio/television,6070,... < 100 DM,7+,3,male:single,none,4,car or other,33,none,own,2,skilled employee/official,1,yes,yes
no checking account,10,Critical,furniture/equipment,2146,... < 100 DM,1,1,female:divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee/official,1,none,yes
no checking account,60,Critical,new car,13756,unknown/ no savings account,7+,2,male:single,none,4,no property,63,bank,free,1,highly skilled,1,yes,yes
0 <= ...<200 DM,60,Paid Credits,others,14782,100 <= ... < 500 DM,7+,3,female:divorced/separated/married,none,4,no property,60,bank,free,2,highly skilled,1,yes,yes
...<0 DM,48,Paid Credits,business,7685,... < 100 DM,7,2,female:divorced/separated/married,guarantor,4,car or other,37,none,rent,1,skilled employee/official,1,none,yes
no checking account,18,Delay in Past,radio/television,2320,... < 100 DM,unemployed,2,male:married/widowed,none,3,real estate,34,none,own,2,skilled employee/official,1,none,yes
no checking account,7,Delay in Past,radio/television,846,unknown/ no savings account,7+,3,male:single,none,4,no property,36,none,free,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,36,Existing Credits,new car,14318,... < 100 DM,7+,4,male:single,none,2,no property,57,none,free,1,highly skilled,1,yes,yes
no checking account,6,Critical,new car,362,100 <= ... < 500 DM,4,4,female:divorced/separated/married,none,4,car or other,52,none,own,2,unskilled-resident,1,none,yes
...<0 DM,20,Existing Credits,furniture/equipment,2212,unknown/ no savings account,7,4,male:single,none,4,car or other,39,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,18,Existing Credits,used car,12976,... < 100 DM,unemployed,3,female:divorced/separated/married,none,4,no property,38,none,free,1,highly skilled,1,yes,yes
no checking account,22,Existing Credits,new car,1283,unknown/ no savings account,7,4,female:divorced/separated/married,none,4,life insurance,25,none,rent,1,skilled employee/official,1,none,yes
... >= 200 DM ,12,Existing Credits,new car,1330,... < 100 DM,1,4,male:single,none,1,real estate,26,none,own,1,skilled employee/official,1,none,yes
no checking account,30,Delay in Past,business,4272,100 <= ... < 500 DM,4,2,male:single,none,2,life insurance,26,none,own,2,unskilled-resident,1,none,yes
no checking account,18,Critical,radio/television,2238,... < 100 DM,4,2,female:divorced/separated/married,none,1,car or other,25,none,own,2,skilled employee/official,1,none,yes
no checking account,18,Existing Credits,radio/television,1126,unknown/ no savings account,1,4,female:divorced/separated/married,none,2,real estate,21,none,rent,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,18,Critical,furniture/equipment,7374,... < 100 DM,unemployed,4,male:single,none,4,life insurance,40,store,own,2,highly skilled,1,yes,yes
0 <= ...<200 DM,15,Critical,business,2326,500 <= ... < 1000 DM,4,2,male:single,none,4,car or other,27,bank,own,1,skilled employee/official,1,none,yes
no checking account,9,Existing Credits,business,1449,... < 100 DM,7,3,female:divorced/separated/married,none,2,car or other,27,none,own,2,skilled employee/official,1,none,yes
no checking account,18,Existing Credits,new car,1820,... < 100 DM,4,2,male:married/widowed,none,2,life insurance,30,none,own,1,highly skilled,1,yes,yes
0 <= ...<200 DM,12,Existing Credits,furniture/equipment,983,.. >= 1000 DM,1,1,female:divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled-resident,1,none,yes
...<0 DM,36,Existing Credits,new car,3249,... < 100 DM,7,2,male:single,none,4,no property,39,bank,free,1,highly skilled,2,yes,yes
...<0 DM,6,Critical,radio/television,1957,... < 100 DM,7,1,female:divorced/separated/married,none,4,car or other,31,none,own,1,skilled employee/official,1,none,yes
no checking account,9,Critical,furniture/equipment,2406,... < 100 DM,unemployed,2,male:single,none,3,car or other,31,none,own,1,highly skilled,1,none,yes
0 <= ...<200 DM,39,Delay in Past,education,11760,100 <= ... < 500 DM,7,2,male:single,none,3,no property,32,none,rent,1,skilled employee/official,1,yes,yes
...<0 DM,12,Existing Credits,furniture/equipment,2578,... < 100 DM,unemployed,3,female:divorced/separated/married,none,4,no property,55,none,free,1,highly skilled,1,none,yes
...<0 DM,36,Critical,furniture/equipment,2348,... < 100 DM,4,3,male:married/widowed,none,2,life insurance,46,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,12,Existing Credits,new car,1223,... < 100 DM,7+,1,male:divorced/separated,none,1,real estate,46,none,rent,2,skilled employee/official,1,none,yes
no checking account,24,Critical,radio/television,1516,.. >= 1000 DM,4,4,female:divorced/separated/married,none,1,real estate,43,none,own,2,unskilled-resident,1,none,yes
no checking account,18,Existing Credits,radio/television,1473,... < 100 DM,1,3,male:married/widowed,none,4,real estate,39,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,18,Critical,business,1887,unknown/ no savings account,4,4,male:married/widowed,none,4,real estate,28,bank,own,2,skilled employee/official,1,none,yes
no checking account,24,Delay in Past,business,8648,... < 100 DM,1,2,male:single,none,2,car or other,27,bank,own,2,skilled employee/official,1,yes,yes
no checking account,14,Delay in Past,new car,802,... < 100 DM,4,4,male:single,none,2,car or other,27,none,own,2,unskilled-resident,1,none,yes
0 <= ...<200 DM,18,Delay in Past,new car,2899,unknown/ no savings account,7+,4,male:single,none,4,car or other,43,none,own,1,skilled employee/official,2,none,yes
0 <= ...<200 DM,24,Existing Credits,radio/television,2039,... < 100 DM,1,1,male:married/widowed,none,1,life insurance,22,none,own,1,skilled employee/official,1,yes,yes
no checking account,24,Critical,used car,2197,unknown/ no savings account,7,4,male:single,none,4,car or other,43,none,own,2,skilled employee/official,2,yes,yes
...<0 DM,15,Existing Credits,radio/television,1053,... < 100 DM,1,4,male:married/widowed,none,2,real estate,27,none,own,1,skilled employee/official,1,none,no
no checking account,24,Existing Credits,radio/television,3235,500 <= ... < 1000 DM,7+,3,male:divorced/separated,none,2,car or other,26,none,own,1,highly skilled,1,yes,yes
... >= 200 DM ,12,Critical,new car,939,500 <= ... < 1000 DM,7,4,male:married/widowed,none,2,real estate,28,none,own,3,skilled employee/official,1,yes,yes
0 <= ...<200 DM,24,Existing Credits,radio/television,1967,... < 100 DM,7+,4,female:divorced/separated/married,none,4,car or other,20,none,own,1,skilled employee/official,1,yes,yes
no checking account,33,Critical,used car,7253,... < 100 DM,7,3,male:single,none,2,car or other,35,none,own,2,highly skilled,1,yes,yes
no checking account,12,Critical,business,2292,... < 100 DM,unemployed,4,male:single,none,2,car or other,42,store,own,2,highly skilled,1,yes,yes
no checking account,10,Existing Credits,new car,1597,500 <= ... < 1000 DM,4,3,male:single,none,2,no property,40,none,rent,1,unskilled-resident,2,none,no
...<0 DM,24,Existing Credits,new car,1381,unknown/ no savings account,4,4,female:divorced/separated/married,none,2,life insurance,35,none,own,1,skilled employee/official,1,none,yes
no checking account,36,Critical,used car,5842,... < 100 DM,7+,2,male:single,none,2,life insurance,35,none,own,2,skilled employee/official,2,yes,yes
...<0 DM,12,Existing Credits,new car,2579,... < 100 DM,1,4,male:single,none,1,real estate,33,none,own,1,unskilled-resident,2,none,yes
...<0 DM,18,Delay in Past,education,8471,unknown/ no savings account,4,1,female:divorced/separated/married,none,2,car or other,23,none,rent,2,skilled employee/official,1,yes,yes
no checking account,21,Existing Credits,new car,2782,500 <= ... < 1000 DM,7,1,female:divorced/separated/married,none,2,car or other,31,bank,own,1,highly skilled,1,none,yes
0 <= ...<200 DM,18,Existing Credits,new car,1042,unknown/ no savings account,4,4,female:divorced/separated/married,none,2,life insurance,33,none,own,1,skilled employee/official,1,none,yes
no checking account,15,Existing Credits,new car,3186,.. >= 1000 DM,7,2,female:divorced/separated/married,none,3,car or other,20,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,used car,2028,unknown/ no savings account,4,4,male:single,none,2,car or other,30,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Critical,new car,958,... < 100 DM,7,2,male:single,none,3,real estate,47,none,own,2,unskilled-resident,2,none,yes
no checking account,21,Delay in Past,furniture/equipment,1591,100 <= ... < 500 DM,7,4,male:single,none,3,real estate,34,none,own,2,highly skilled,1,none,yes
0 <= ...<200 DM,12,Existing Credits,furniture/equipment,2762,unknown/ no savings account,7+,1,female:divorced/separated/married,none,2,life insurance,25,bank,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,18,Existing Credits,used car,2779,... < 100 DM,4,1,male:married/widowed,none,3,car or other,21,none,rent,1,skilled employee/official,1,yes,yes
no checking account,28,Critical,radio/television,2743,... < 100 DM,7+,4,male:single,none,2,car or other,29,none,own,2,skilled employee/official,1,none,yes
no checking account,18,Critical,radio/television,1149,.. >= 1000 DM,4,4,male:single,none,3,real estate,46,none,own,2,skilled employee/official,1,none,yes
no checking account,9,Existing Credits,furniture/equipment,1313,... < 100 DM,7+,1,male:single,none,4,car or other,20,none,own,1,skilled employee/official,1,none,yes
...<0 DM,18,Critical,repairs,1190,... < 100 DM,unemployed,2,female:divorced/separated/married,none,4,no property,55,none,free,3,unemployed/unskilled-non resident,2,none,yes
no checking account,5,Existing Credits,business,3448,... < 100 DM,7,1,male:single,none,4,real estate,74,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,24,Existing Credits,others,11328,... < 100 DM,4,2,male:single,co-applicant,3,car or other,29,bank,own,2,highly skilled,1,yes,yes
...<0 DM,6,Critical,furniture/equipment,1872,... < 100 DM,unemployed,4,male:single,none,4,no property,36,none,free,3,highly skilled,1,yes,yes
no checking account,24,Critical,repairs,2058,... < 100 DM,4,4,male:divorced/separated,none,2,real estate,33,none,own,2,skilled employee/official,1,yes,yes
...<0 DM,9,Existing Credits,furniture/equipment,2136,... < 100 DM,4,3,male:single,none,2,real estate,25,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,radio/television,1484,unknown/ no savings account,4,2,male:married/widowed,none,1,real estate,25,none,own,1,skilled employee/official,1,yes,yes
no checking account,6,Existing Credits,repairs,660,500 <= ... < 1000 DM,7,2,male:married/widowed,none,4,real estate,23,none,rent,1,unskilled-resident,1,none,yes
no checking account,24,Critical,new car,1287,.. >= 1000 DM,7+,4,female:divorced/separated/married,none,4,real estate,37,none,own,2,skilled employee/official,1,yes,yes
...<0 DM,42,Critical,repairs,3394,... < 100 DM,unemployed,4,male:single,co-applicant,4,car or other,65,none,own,2,unemployed/unskilled-non resident,1,none,yes
... >= 200 DM ,12,Paid Credits,business,609,... < 100 DM,1,4,female:divorced/separated/married,none,1,real estate,26,none,own,1,unemployed/unskilled-non resident,1,none,yes
no checking account,12,Existing Credits,new car,1884,... < 100 DM,7+,4,male:single,none,4,car or other,39,none,own,1,highly skilled,1,yes,yes
...<0 DM,12,Existing Credits,furniture/equipment,1620,... < 100 DM,4,2,female:divorced/separated/married,co-applicant,3,life insurance,30,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,20,Delay in Past,others,2629,... < 100 DM,4,2,male:single,none,3,car or other,29,bank,own,2,skilled employee/official,1,yes,yes
no checking account,12,Existing Credits,education,719,... < 100 DM,7+,4,male:single,none,4,car or other,41,bank,own,1,unskilled-resident,2,none,yes
0 <= ...<200 DM,48,Critical,furniture/equipment,5096,... < 100 DM,4,2,female:divorced/separated/married,none,3,car or other,30,none,own,1,highly skilled,1,yes,yes
no checking account,9,Critical,education,1244,unknown/ no savings account,7+,4,female:divorced/separated/married,none,4,life insurance,41,none,rent,2,unskilled-resident,1,none,yes
...<0 DM,36,Existing Credits,new car,1842,... < 100 DM,1,4,female:divorced/separated/married,none,4,car or other,34,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,7,Existing Credits,radio/television,2576,... < 100 DM,4,2,male:single,guarantor,2,real estate,35,none,own,1,skilled employee/official,1,none,yes
... >= 200 DM ,12,Existing Credits,furniture/equipment,1424,unknown/ no savings account,7+,3,female:divorced/separated/married,none,4,real estate,55,none,own,1,highly skilled,1,yes,yes
0 <= ...<200 DM,15,Delay in Past,repairs,1512,.. >= 1000 DM,4,3,male:married/widowed,none,3,life insurance,61,store,own,2,skilled employee/official,1,none,yes
no checking account,36,Critical,used car,11054,unknown/ no savings account,4,4,male:single,none,2,car or other,30,none,own,1,highly skilled,1,yes,yes
no checking account,6,Existing Credits,radio/television,518,... < 100 DM,4,3,female:divorced/separated/married,none,1,real estate,29,none,own,1,skilled employee/official,1,none,yes
no checking account,12,No Credits,furniture/equipment,2759,... < 100 DM,7+,2,male:single,none,4,life insurance,34,none,own,2,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,used car,2670,... < 100 DM,7+,4,male:single,none,4,car or other,35,none,own,1,highly skilled,1,yes,yes
...<0 DM,24,Existing Credits,new car,4817,... < 100 DM,7,2,male:single,co-applicant,3,life insurance,31,none,own,1,skilled employee/official,1,yes,yes
no checking account,24,Existing Credits,used car,2679,... < 100 DM,1,4,female:divorced/separated/married,none,1,no property,29,none,own,1,highly skilled,1,yes,yes
...<0 DM,11,Critical,new car,3905,... < 100 DM,4,2,male:single,none,2,real estate,36,none,rent,2,skilled employee/official,2,none,yes
...<0 DM,12,Existing Credits,used car,3386,... < 100 DM,7+,3,male:single,none,4,no property,35,none,free,1,skilled employee/official,1,yes,yes
...<0 DM,6,Existing Credits,domestic appliances,343,... < 100 DM,1,4,female:divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee/official,1,none,yes
no checking account,18,Existing Credits,radio/television,4594,... < 100 DM,1,3,male:single,none,2,car or other,32,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,36,Existing Credits,furniture/equipment,3620,... < 100 DM,4,1,male:single,guarantor,2,life insurance,37,none,own,1,skilled employee/official,2,none,yes
...<0 DM,15,Existing Credits,new car,1721,... < 100 DM,1,2,male:single,none,3,real estate,36,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,furniture/equipment,3017,... < 100 DM,1,3,female:divorced/separated/married,none,1,real estate,34,none,rent,1,highly skilled,1,none,yes
0 <= ...<200 DM,12,Existing Credits,retraining,754,unknown/ no savings account,7+,4,male:single,none,4,life insurance,38,none,own,2,skilled employee/official,1,none,yes
no checking account,18,Existing Credits,business,1950,... < 100 DM,7,4,male:single,none,1,car or other,34,store,own,2,skilled employee/official,1,yes,yes
...<0 DM,24,Existing Credits,used car,2924,... < 100 DM,4,3,male:single,guarantor,4,no property,63,bank,own,1,skilled employee/official,2,yes,yes
...<0 DM,24,Delay in Past,radio/television,1659,... < 100 DM,1,4,female:divorced/separated/married,none,2,car or other,29,none,rent,1,unskilled-resident,1,yes,yes
no checking account,48,Delay in Past,radio/television,7238,unknown/ no savings account,7+,3,male:single,none,3,car or other,32,bank,own,2,skilled employee/official,2,none,yes
no checking account,33,Delay in Past,business,2764,... < 100 DM,4,2,female:divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee/official,1,yes,yes
no checking account,24,Delay in Past,used car,4679,... < 100 DM,7,3,male:single,none,3,car or other,35,none,own,2,unskilled-resident,1,yes,yes
0 <= ...<200 DM,24,Existing Credits,radio/television,3092,100 <= ... < 500 DM,1,3,male:married/widowed,none,2,car or other,22,none,rent,1,skilled employee/official,1,yes,yes
...<0 DM,6,Existing Credits,education,448,... < 100 DM,1,4,female:divorced/separated/married,none,4,life insurance,23,none,own,1,skilled employee/official,1,none,yes
...<0 DM,9,Existing Credits,new car,654,... < 100 DM,4,4,male:single,none,3,car or other,28,none,own,1,unskilled-resident,1,none,yes
no checking account,6,Existing Credits,retraining,1238,unknown/ no savings account,unemployed,4,male:single,none,4,life insurance,36,none,own,1,highly skilled,2,yes,yes
0 <= ...<200 DM,18,Critical,radio/television,1245,... < 100 DM,4,4,male:married/widowed,none,2,car or other,33,none,own,1,skilled employee/official,1,none,yes
...<0 DM,18,No Credits,furniture/equipment,3114,... < 100 DM,1,1,female:divorced/separated/married,none,4,life insurance,26,none,rent,1,skilled employee/official,1,none,yes
no checking account,39,Existing Credits,used car,2569,500 <= ... < 1000 DM,4,4,male:single,none,4,car or other,24,none,own,1,skilled employee/official,1,none,yes
... >= 200 DM ,24,Existing Credits,radio/television,5152,... < 100 DM,7,4,male:single,none,2,car or other,25,bank,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,business,1037,100 <= ... < 500 DM,7,3,male:single,none,4,real estate,39,none,own,1,unskilled-resident,1,none,yes
...<0 DM,15,Critical,furniture/equipment,1478,... < 100 DM,7+,4,male:single,none,4,car or other,44,none,own,2,skilled employee/official,2,yes,yes
0 <= ...<200 DM,12,Critical,radio/television,3573,... < 100 DM,4,1,female:divorced/separated/married,none,1,real estate,23,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,24,Existing Credits,new car,1201,... < 100 DM,1,4,male:single,none,1,life insurance,26,none,own,1,skilled employee/official,1,none,yes
...<0 DM,30,Existing Credits,furniture/equipment,3622,.. >= 1000 DM,7+,4,female:divorced/separated/married,none,4,life insurance,57,none,rent,2,skilled employee/official,1,yes,yes
no checking account,15,Delay in Past,furniture/equipment,960,.. >= 1000 DM,7,3,female:divorced/separated/married,none,2,life insurance,30,none,own,2,skilled employee/official,1,none,yes
no checking account,12,Critical,new car,1163,500 <= ... < 1000 DM,4,4,male:single,none,4,real estate,44,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,6,Delay in Past,new car,1209,... < 100 DM,unemployed,4,male:single,none,4,life insurance,47,none,own,1,highly skilled,1,yes,yes
no checking account,12,Existing Credits,radio/television,3077,... < 100 DM,4,2,male:single,none,4,car or other,52,none,own,1,skilled employee/official,1,yes,yes
no checking account,24,Existing Credits,new car,3757,... < 100 DM,7+,4,female:divorced/separated/married,co-applicant,4,no property,62,none,free,1,skilled employee/official,1,yes,yes
no checking account,10,Existing Credits,new car,1418,100 <= ... < 500 DM,4,3,male:single,none,2,real estate,35,none,rent,1,unskilled-resident,1,none,no
no checking account,6,Existing Credits,new car,3518,... < 100 DM,4,2,male:single,guarantor,3,life insurance,26,none,rent,1,skilled employee/official,1,none,yes
no checking account,12,Critical,radio/television,1934,... < 100 DM,7+,2,male:single,none,2,no property,26,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,27,No Credits,business,8318,... < 100 DM,7+,2,female:divorced/separated/married,none,4,no property,42,none,free,2,highly skilled,1,yes,yes
no checking account,6,Critical,radio/television,1237,100 <= ... < 500 DM,4,1,female:divorced/separated/married,none,1,life insurance,27,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,6,Existing Credits,radio/television,368,unknown/ no savings account,7+,4,male:single,none,4,life insurance,38,none,own,1,skilled employee/official,1,none,yes
...<0 DM,12,Critical,new car,2122,... < 100 DM,4,3,male:single,none,2,real estate,39,none,rent,2,unskilled-resident,2,none,no
...<0 DM,24,Existing Credits,furniture/equipment,2996,unknown/ no savings account,4,2,male:married/widowed,none,4,car or other,20,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,36,Existing Credits,furniture/equipment,9034,100 <= ... < 500 DM,1,4,male:single,co-applicant,1,no property,29,none,rent,1,highly skilled,1,yes,yes
no checking account,24,Critical,furniture/equipment,1585,... < 100 DM,7,4,male:single,none,3,life insurance,40,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,Existing Credits,radio/television,1301,... < 100 DM,7+,4,male:married/widowed,guarantor,2,real estate,32,none,own,1,unskilled-resident,1,none,yes
... >= 200 DM ,6,Critical,new car,1323,100 <= ... < 500 DM,7+,2,male:divorced/separated,none,4,car or other,28,none,own,2,skilled employee/official,2,yes,yes
...<0 DM,24,Existing Credits,new car,3123,... < 100 DM,1,4,female:divorced/separated/married,none,1,life insurance,27,none,own,1,skilled employee/official,1,none,yes
...<0 DM,36,Existing Credits,used car,5493,... < 100 DM,7+,2,male:single,none,4,no property,42,none,free,1,skilled employee/official,2,none,yes
... >= 200 DM ,9,Existing Credits,radio/television,1126,100 <= ... < 500 DM,7+,2,male:divorced/separated,none,4,real estate,49,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Critical,radio/television,1216,100 <= ... < 500 DM,1,4,male:single,none,4,no property,38,bank,own,2,skilled employee/official,2,none,yes
...<0 DM,24,Existing Credits,new car,1207,... < 100 DM,1,4,female:divorced/separated/married,none,4,life insurance,24,none,rent,1,skilled employee/official,1,none,yes
no checking account,10,Existing Credits,new car,1309,unknown/ no savings account,4,4,male:single,guarantor,4,life insurance,27,none,own,1,unskilled-resident,1,none,yes
... >= 200 DM ,15,Critical,used car,2360,500 <= ... < 1000 DM,4,2,male:single,none,2,car or other,36,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,15,Paid Credits,new car,6850,100 <= ... < 500 DM,unemployed,1,male:single,none,2,life insurance,34,none,own,1,highly skilled,2,yes,yes
no checking account,24,Existing Credits,radio/television,1413,... < 100 DM,4,4,male:married/widowed,none,2,life insurance,28,none,own,1,skilled employee/official,1,none,yes
no checking account,39,Existing Credits,used car,8588,100 <= ... < 500 DM,7+,4,male:single,none,2,car or other,45,none,own,1,highly skilled,1,yes,yes
...<0 DM,12,Existing Credits,new car,759,... < 100 DM,7,4,male:single,none,2,real estate,26,none,own,1,skilled employee/official,1,none,yes
no checking account,36,Existing Credits,used car,4686,... < 100 DM,4,2,male:single,none,2,no property,32,none,free,1,highly skilled,1,yes,yes
... >= 200 DM ,15,Existing Credits,business,2687,... < 100 DM,7,2,male:single,none,4,life insurance,26,none,rent,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,12,Delay in Past,radio/television,585,... < 100 DM,4,4,male:married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,new car,2255,unknown/ no savings account,1,4,male:single,none,1,life insurance,54,none,own,1,skilled employee/official,1,none,yes
...<0 DM,6,Critical,new car,609,... < 100 DM,7,4,female:divorced/separated/married,none,3,life insurance,37,none,own,2,skilled employee/official,1,none,no
...<0 DM,6,Critical,new car,1361,... < 100 DM,1,2,male:single,none,4,real estate,40,none,own,1,unskilled-resident,2,none,no
no checking account,36,Critical,furniture/equipment,7127,... < 100 DM,1,2,female:divorced/separated/married,none,4,life insurance,23,none,rent,2,skilled employee/official,1,yes,yes
...<0 DM,6,Existing Credits,new car,1203,100 <= ... < 500 DM,7+,3,male:single,none,2,life insurance,43,none,own,1,skilled employee/official,1,yes,yes
no checking account,6,Critical,radio/television,700,unknown/ no savings account,7+,4,male:single,none,4,no property,36,none,free,2,skilled employee/official,1,none,yes
no checking account,24,Critical,repairs,5507,... < 100 DM,7+,3,male:single,none,4,no property,44,none,free,2,skilled employee/official,1,none,yes
...<0 DM,18,Existing Credits,radio/television,3190,... < 100 DM,4,2,female:divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,none,yes
...<0 DM,48,No Credits,furniture/equipment,7119,... < 100 DM,4,3,male:single,none,4,no property,53,none,free,2,skilled employee/official,2,none,yes
no checking account,24,Existing Credits,used car,3488,100 <= ... < 500 DM,7,3,female:divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,Existing Credits,radio/television,1113,... < 100 DM,4,4,female:divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled-resident,2,none,yes
0 <= ...<200 DM,26,Existing Credits,used car,7966,... < 100 DM,1,2,male:single,none,3,car or other,30,none,own,2,skilled employee/official,1,none,yes
no checking account,15,Critical,education,1532,100 <= ... < 500 DM,4,4,female:divorced/separated/married,none,3,car or other,31,none,own,1,skilled employee/official,1,none,yes
no checking account,4,Critical,radio/television,1503,... < 100 DM,7,2,male:single,none,1,real estate,42,none,own,2,unskilled-resident,2,none,yes
...<0 DM,36,Existing Credits,radio/television,2302,... < 100 DM,4,4,male:divorced/separated,none,4,car or other,31,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,6,Existing Credits,new car,662,... < 100 DM,1,3,male:single,none,4,real estate,41,none,own,1,unskilled-resident,2,yes,yes
0 <= ...<200 DM,36,Existing Credits,education,2273,... < 100 DM,7,3,male:single,none,1,car or other,32,none,own,2,skilled employee/official,2,none,yes
0 <= ...<200 DM,15,Existing Credits,new car,2631,100 <= ... < 500 DM,4,2,female:divorced/separated/married,none,4,car or other,28,none,rent,2,skilled employee/official,1,yes,yes
no checking account,12,Delay in Past,used car,1503,... < 100 DM,4,4,male:married/widowed,none,4,real estate,41,none,rent,1,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,radio/television,1311,100 <= ... < 500 DM,7,4,male:married/widowed,none,3,life insurance,26,none,own,1,skilled employee/official,1,yes,yes
no checking account,24,Existing Credits,radio/television,3105,unknown/ no savings account,1,4,male:single,none,2,car or other,25,none,own,2,skilled employee/official,1,none,yes
... >= 200 DM ,21,Critical,education,2319,... < 100 DM,1,2,male:divorced/separated,none,1,car or other,33,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,6,Existing Credits,new car,1374,unknown/ no savings account,unemployed,4,female:divorced/separated/married,none,3,life insurance,75,none,own,1,highly skilled,1,yes,yes
0 <= ...<200 DM,18,Critical,furniture/equipment,3612,... < 100 DM,7+,3,female:divorced/separated/married,none,4,life insurance,37,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,48,Existing Credits,new car,7763,... < 100 DM,7+,4,male:single,none,4,no property,42,bank,free,1,highly skilled,1,none,yes
... >= 200 DM ,18,Existing Credits,furniture/equipment,3049,... < 100 DM,1,1,female:divorced/separated/married,none,1,life insurance,45,store,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,12,Existing Credits,radio/television,1534,... < 100 DM,1,1,male:married/widowed,none,1,real estate,23,none,rent,1,skilled employee/official,1,none,yes
no checking account,24,Delay in Past,new car,2032,... < 100 DM,7+,4,male:single,none,4,no property,60,none,free,2,skilled employee/official,1,yes,yes
...<0 DM,30,Existing Credits,furniture/equipment,6350,unknown/ no savings account,7+,4,male:single,none,4,life insurance,31,none,own,1,skilled employee/official,1,none,yes
... >= 200 DM ,18,Existing Credits,furniture/equipment,2864,... < 100 DM,4,2,male:single,none,1,real estate,34,none,own,1,unskilled-resident,2,none,yes
no checking account,12,Critical,new car,1255,... < 100 DM,7+,4,male:single,none,4,real estate,61,none,own,2,unskilled-resident,1,none,yes
...<0 DM,24,Delay in Past,new car,1333,... < 100 DM,unemployed,4,male:single,none,2,real estate,43,none,free,2,skilled employee/official,2,none,yes
no checking account,24,Critical,new car,2022,... < 100 DM,4,4,female:divorced/separated/married,none,4,car or other,37,none,own,1,skilled employee/official,1,yes,yes
no checking account,24,Existing Credits,radio/television,1552,... < 100 DM,7,3,male:single,none,1,car or other,32,bank,own,1,skilled employee/official,2,none,yes
...<0 DM,12,Paid Credits,radio/television,626,... < 100 DM,4,4,female:divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled-resident,1,none,yes
